"﻿""Keyword""",SERP features,Volume,KD,CPC,servicesartisans.fr/: URL,servicesartisans.fr/: Organic Position,servicesartisans.fr/: Organic Traffic,servicesartisans.fr/: Ad title,servicesartisans.fr/: Ad display URL,servicesartisans.fr/: Ad description,servicesartisans.fr/: Ad block,servicesartisans.fr/: Ad position,servicesartisans.fr/: Paid traffic,pagesjaunes.fr/: URL,pagesjaunes.fr/: Organic Position,pagesjaunes.fr/: Organic Traffic,pagesjaunes.fr/: Ad title,pagesjaunes.fr/: Ad display URL,pagesjaunes.fr/: Ad description,pagesjaunes.fr/: Ad block,pagesjaunes.fr/: Ad position,pagesjaunes.fr/: Paid traffic,travaux.com/: URL,travaux.com/: Organic Position,travaux.com/: Organic Traffic,travaux.com/: Ad title,travaux.com/: Ad display URL,travaux.com/: Ad description,travaux.com/: Ad block,travaux.com/: Ad position,travaux.com/: Paid traffic,izi-by-edf.fr/: URL,izi-by-edf.fr/: Organic Position,izi-by-edf.fr/: Organic Traffic,izi-by-edf.fr/: Ad title,izi-by-edf.fr/: Ad display URL,izi-by-edf.fr/: Ad description,izi-by-edf.fr/: Ad block,izi-by-edf.fr/: Ad position,izi-by-edf.fr/: Paid traffic,Updated
obsèques taupont,People also ask,900,0,0.57,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/taupont-56/funerariums,9,33,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-09 12:39:42
restaurant vallet,"Thumbnail, Video preview",900,5,0.07,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/vallet-44/restaurants,4,79,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 10:10:31
tabac jean jaures,"Thumbnail, Video preview",900,0,,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/metro-jean-jaures-toulouse-toulouse-31/bureaux-de-tabacs,2,26,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-14 20:24:51
emmaus neufchateau,"Thumbnail, People also ask, Video preview",900,0,3.97,,,,,,,,,,https://www.pagesjaunes.fr/pros/51992333,7,2,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-14 11:21:01
dentiste saint omer,"Local pack, Thumbnail",900,0,0.14,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/saint-omer-62/dentistes,7,15,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-10 23:08:47
la sochalienne,"Sitelinks, People also ask",900,0,0.26,,,,,,,,,,https://www.pagesjaunes.fr/pros/08660614,5,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-12 17:18:31
saur mordelles,"Sitelinks, People also ask, Knowledge panel",900,0,0.71,,,,,,,,,,https://www.pagesjaunes.fr/pros/53632618,2,155,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-10 20:37:00
giorgio e basta,"Sitelinks, People also ask, Video preview",900,0,0.46,,,,,,,,,,https://www.pagesjaunes.fr/pros/62705317,7,42,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-10 00:58:36
leclerc sainte-eulalie,Thumbnail,900,0,0.22,,,,,,,,,,https://www.pagesjaunes.fr/pros/55703828,7,19,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17 01:10:20
gifi saint medard en jalles,"Thumbnail, People also ask",900,0,0.07,,,,,,,,,,https://www.pagesjaunes.fr/pros/09256824,9,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 18:54:55
lidl gerardmer,Thumbnail,900,0,0.04,,,,,,,,,,https://www.pagesjaunes.fr/pros/51707971,4,29,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-14 21:06:50
coiffeur haguenau,"Local pack, People also ask, Thumbnail, Video preview",900,0,0.18,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/haguenau-67/salons-de-coiffure-sans-rendez-vous,7,58,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-11 14:51:40
ibis gare de lyon,"Thumbnail, Video preview",900,0,0.26,,,,,,,,,,https://www.pagesjaunes.fr/pros/07088685,8,11,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-11 23:24:18
akelius,Local pack,900,0,0.38,,,,,,,,,,https://www.pagesjaunes.fr/pros/55782631,7,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-01 23:16:17
mije,"Sitelinks, People also ask, Thumbnail, Video preview",900,0,0.02,,,,,,,,,,https://www.pagesjaunes.fr/pros/55607966,6,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-10 02:12:09
laboratoire tourcoing,"Local pack, Thumbnail, Video preview",900,0,0.56,,,,,,,,,,https://www.pagesjaunes.fr/pros/60713270,6,3,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-11 09:21:43
aldi bonneuil,"People also ask, Knowledge panel, Thumbnail",900,0,0.34,,,,,,,,,,https://www.pagesjaunes.fr/pros/61100439,6,69,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-04 05:28:56
cultura amphion,,900,0,0.02,,,,,,,,,,https://www.pagesjaunes.fr/pros/57390865,5,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-09 14:50:51
aldi meru,"People also ask, Knowledge panel, Thumbnail, Sitelinks",900,0,0.05,,,,,,,,,,https://www.pagesjaunes.fr/pros/60247102,9,24,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-04 15:16:43
norauto mozac,"People also ask, Knowledge panel, Thumbnail, Sitelinks",900,0,0.05,,,,,,,,,,https://www.pagesjaunes.fr/pros/54157792,9,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-05 12:58:17
le bouillon republique,"Thumbnail, People also ask, Video preview",900,10,0.27,,,,,,,,,,https://www.pagesjaunes.fr/pros/61418135,8,35,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-09 16:06:15
leclerc druve,"Sitelinks, Local pack, People also ask, Video preview",900,26,,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/region/alsace/e-leclerc-drive,9,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-14 23:56:39
samsic interim,"Sitelinks, Local pack",900,25,0.18,,,,,,,,,,https://www.pagesjaunes.fr/pros/59995157,7,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 11:50:09
decathlon saint doulchard,Thumbnail,900,0,0.10,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/saint-doulchard-18/magasins-de-sport,7,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-09 11:37:50
adresse cpam evry,"People also ask, Local pack",900,0,0.22,,,,,,,,,,https://www.pagesjaunes.fr/pros/58042365,7,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-09 09:21:39
district 23,"Video preview, Sitelinks",900,0,,,,,,,,,,,https://www.pagesjaunes.fr/pros/09383696,7,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-05 04:09:00
safran massy,"Local pack, Thumbnail, People also ask, Video preview",900,0,0.02,,,,,,,,,,https://www.pagesjaunes.fr/pros/52854667,8,12,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 17:01:10
aramis auto rennes,"People also ask, Video preview",900,0,0.03,,,,,,,,,,https://www.pagesjaunes.fr/pros/55427518,10,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17 18:25:39
leclerc coulanges,"People also ask, Thumbnail",900,4,0.02,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/coulanges-les-nevers-58/espace-culturel-leclerc,10,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 12:27:26
bibliotheques paris,"Sitelinks, Local pack, Thumbnail, Video preview",900,2,0.14,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/paris-75/bibliotheque,10,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17 17:10:13
cpam cotes d'armor,People also ask,900,0,0.82,,,,,,,,,,https://www.pagesjaunes.fr/pros/55600868,5,2,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 10:49:42
gamm vert castelnaudary,"Thumbnail, People also ask, Video preview, Sitelinks",900,0,0.03,,,,,,,,,,https://www.pagesjaunes.fr/pros/54068860,5,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-12 16:22:21
boulangerie ales,"Thumbnail, Video preview",900,0,0.07,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/ales-30/boulangerie-ouverte-maintenant,4,23,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 10:24:48
leclerc epinal,"Knowledge panel, Sitelinks, Thumbnail",900,0,0.01,,,,,,,,,,https://www.pagesjaunes.fr/pros/00607043,7,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-04 09:27:39
animalis la seyne,"Thumbnail, People also ask",900,0,0.36,,,,,,,,,,https://www.pagesjaunes.fr/pros/53425082,3,9,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 14:57:56
neurologue orleans,"Local pack, People also ask, Video preview",900,0,0.14,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/orleans-45/medecins-neurologues,9,23,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-05 01:55:15
gare de neuilly plaisance,"Thumbnail, People also ask, Knowledge panel, Video preview",900,0,0.84,,,,,,,,,,https://www.pagesjaunes.fr/pros/62221727,5,2,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-11 21:39:26
intermarché bazeilles,,900,0,,,,,,,,,,,https://www.pagesjaunes.fr/pros/62702799,6,53,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-10 15:11:22
terrasse en gravier,"People also ask, Video preview",900,0,0.25,,,,,,,,,,https://terrasse.pagesjaunes.fr/fiche/voir/541731/comment-faire-une-terrasse-en-gravier,26,0,,,,,,,https://www.travaux.com/jardin-et-exterieur/articles/faire-une-terrasse-a-moindre-cout,1,0,,,,,,,,,,,,,,,,2026-04-06 00:42:47
docteur pour les oreilles,"Featured snippet, Thumbnail, People also ask, Video preview, Sitelinks",900,0,0.71,,,,,,,,,,https://www.pagesjaunes.fr/activites/orl.html,5,22,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 22:43:18
cardiologue annemasse,"Local pack, People also ask, Thumbnail",900,0,0.58,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/annemasse-74/cardiologue,10,18,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 12:13:09
reparation ordinateur,People also ask,900,21,0.64,,,,,,,,,,https://www.pagesjaunes.fr/activites/reparateur-d-ordinateur.html,2,152,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 01:28:46
lidl labegude,"People also ask, Knowledge panel, Thumbnail",900,0,0.04,,,,,,,,,,https://www.pagesjaunes.fr/pros/52641551,6,39,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-06 06:52:16
primocar strasbourg,Sitelinks,900,0,0.06,,,,,,,,,,https://www.pagesjaunes.fr/pros/55207719,9,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-11 07:01:12
coiffeur bayeux,"Local pack, Thumbnail",900,3,0.40,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/bayeux-14/coiffeurs,6,58,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 04:25:14
monoprix la ciotat,"People also ask, Knowledge panel, Thumbnail, Sitelinks",900,0,0.18,,,,,,,,,,https://www.pagesjaunes.fr/pros/56191651,8,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-14 13:25:37
peugeot poitiers,Sitelinks,900,0,0.33,,,,,,,,,,https://www.pagesjaunes.fr/pros/05620075,7,42,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-04 20:18:34
bouture basilic,"People also ask, Video preview",900,0,0.09,,,,,,,,,,https://potager.pagesjaunes.fr/fiche/voir/670333/realiser-une-bouture-de-basilic,7,2,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-10 12:34:53
jd sport bordeaux,"Local pack, Thumbnail, Video preview",900,0,0.02,,,,,,,,,,https://www.pagesjaunes.fr/pros/56139635,7,3,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 01:47:12
voyantissime,"Sitelinks, People also ask",900,0,2.78,,,,,,,,,,https://www.pagesjaunes.fr/pros/60206304,5,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-11 00:37:15
coiffeur ermont,"Local pack, Thumbnail, People also ask, Video preview",900,3,0.28,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/ermont-95/coiffeurs,3,62,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 02:20:09
grand reims mobilités,"Sitelinks, People also ask, Video preview, Thumbnail",900,9,0.36,,,,,,,,,,https://www.pagesjaunes.fr/pros/09684707,4,81,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 14:19:57
carrefour isle d'abeau,"Sitelinks, People also ask",900,0,0.02,,,,,,,,,,https://www.pagesjaunes.fr/pros/55685880,6,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-10 11:15:45
leclerc houtaud,"People also ask, Knowledge panel, Thumbnail",900,0,1.98,,,,,,,,,,https://www.pagesjaunes.fr/pros/55727243,3,36,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 18:53:33
meljac,"Sitelinks, Thumbnail, Video preview",900,1,0.44,,,,,,,,,,https://www.pagesjaunes.fr/pros/07622575,5,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-09 02:50:06
bmw poitiers,Video preview,900,0,0.18,,,,,,,,,,https://www.pagesjaunes.fr/pros/06949671,9,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 10:09:06
calidel lamballe,"Sitelinks, Thumbnail",900,0,0.34,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/lamballe-22/volailles-et-gibiers,5,82,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-06 08:23:17
impot ermont,People also ask,900,0,0.07,,,,,,,,,,https://www.pagesjaunes.fr/pros/06282311,7,15,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-01 04:15:09
feu vert uzes,"Thumbnail, People also ask, Sitelinks",900,0,0.03,,,,,,,,,,https://www.pagesjaunes.fr/pros/56478273,6,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-05 04:54:59
citya chartres,"Sitelinks, Thumbnail",900,0,0.10,,,,,,,,,,https://www.pagesjaunes.fr/pros/00336151,7,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 14:08:49
pro btp téléphone,"Local pack, People also ask",900,0,0.52,,,,,,,,,,https://www.pagesjaunes.fr/pros/55193649,8,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-11 14:52:48
fourrière paris,"Thumbnail, Local pack, People also ask, Video preview",900,12,0.11,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/paris-75/fourriere-automobile,7,3,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 22:28:46
nespresso parly 2,"Thumbnail, People also ask",900,0,0.95,,,,,,,,,,https://www.pagesjaunes.fr/pros/54191000,4,53,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-12 09:06:19
lidl falaise,"Thumbnail, People also ask",900,0,0.05,,,,,,,,,,https://www.pagesjaunes.fr/pros/53626150,5,37,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 06:10:43
laboratoire remiremont,,900,0,,,,,,,,,,,https://www.pagesjaunes.fr/pros/60528269,6,2,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-12 03:33:16
pharmacie hettange grande,"Local pack, Thumbnail",900,0,0.02,,,,,,,,,,https://www.pagesjaunes.fr/pros/06580979,7,23,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-12 16:18:41
basic fit chartres,"Thumbnail, People also ask, Video preview, Sitelinks",900,0,0.12,,,,,,,,,,https://www.pagesjaunes.fr/pros/57412387,10,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-12 06:03:57
auto bac,"Sitelinks, Local pack, People also ask, Video preview",900,0,0.04,,,,,,,,,,https://www.pagesjaunes.fr/pros/08755031,4,4,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 08:17:19
fleuriste roubaix,,900,0,0.30,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/metro-euroteleport-roubaix-59/fleuristes,5,14,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-14 14:57:51
intermarché le pellerin,Thumbnail,900,0,0.77,,,,,,,,,,https://www.pagesjaunes.fr/pros/59743221,4,3,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-12 16:33:26
gold archery,"Sitelinks, Local pack, People also ask, Shopping, Thumbnail, Video preview",900,0,0.07,,,,,,,,,,https://www.pagesjaunes.fr/pros/08026705,5,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-06 02:21:00
gifi hendaye,"AI Overview, Thumbnail",900,0,0.04,,,,,,,,,,https://www.pagesjaunes.fr/pros/52652073,2,78,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-11 00:03:59
hotel le grau du roi,Thumbnail,900,0,0.23,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/le-grau-du-roi-30/hotels,10,25,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-11 05:19:39
brasserie annecy,"Thumbnail, Video preview",900,20,0.04,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/annecy-74/brasseries,7,31,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 00:09:29
coiffeur sartrouville,Local pack,900,0,0.24,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/sartrouville-78/salons-de-coiffure-sans-rendez-vous,5,58,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 01:50:22
asiakeo mougins,"Sitelinks, Knowledge panel, Thumbnail, Video preview",900,0,,,,,,,,,,,https://www.pagesjaunes.fr/pros/62158609,5,65,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-10 21:33:54
family 3.0,Sitelinks,900,0,0.11,,,,,,,,,,https://www.pagesjaunes.fr/pros/51751058,5,66,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-05 06:47:45
leclerc soultz,People also ask,900,0,0.04,,,,,,,,,,https://www.pagesjaunes.fr/pros/60741602,4,3,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-14 12:42:02
auchan saint sebastien sur loire,"People also ask, Thumbnail",900,0,0.09,,,,,,,,,,https://www.pagesjaunes.fr/pros/01758853,8,4,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-06 03:42:22
brico travo,"Sitelinks, People also ask, Knowledge panel",900,0,0.25,,,,,,,,,,https://www.pagesjaunes.fr/pros/55040261,5,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-06 07:13:57
carminatif,"Featured snippet, People also ask",900,0,0.19,,,,,,,,,,https://alimentation.pagesjaunes.fr/astuce/voir/724281/carminatif,8,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-10 02:04:34
coupe dégradé américain,"People also ask, Thumbnail, Video preview",900,0,,,,,,,,,,,https://coiffure.pagesjaunes.fr/astuce/voir/680331/degrade-americain,5,14,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-12 00:07:01
salon de massage chinois à proximité,"People also ask, Knowledge panel, Video preview, Thumbnail",900,0,,,,,,,,,,,https://www.pagesjaunes.fr/activites/massage-chinois.html,1,365,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 18:27:45
leclerc liancourt,"Local pack, Sitelinks, Video preview, Thumbnail",900,1,0.06,,,,,,,,,,https://www.pagesjaunes.fr/pros/53739530,5,45,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-14 02:33:29
lidl coignieres,"People also ask, Thumbnail, Video preview, Sitelinks",900,0,0.14,,,,,,,,,,https://www.pagesjaunes.fr/pros/53626244,5,19,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 16:43:46
ubaldi monaco,"People also ask, Thumbnail, Sitelinks",900,1,0.02,,,,,,,,,,https://www.pagesjaunes.fr/pros/53726611,6,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-14 03:54:44
bricomarché vizille,"Thumbnail, People also ask, Video preview",900,0,0.05,,,,,,,,,,https://www.pagesjaunes.fr/pros/07571007,2,71,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-11 14:29:49
monoprix vienne,"People also ask, Sitelinks",900,0,0.18,,,,,,,,,,https://www.pagesjaunes.fr/pros/55684205,4,32,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-09 17:38:11
restaurant carteret,Thumbnail,900,15,0.03,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/barneville-carteret-50/restaurants,5,3,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-02 04:02:30
hopital rodez,"Sitelinks, People also ask, Knowledge panel, Thumbnail",900,0,,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/rodez-12/hopitaux,10,5,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 06:20:18
auchan gradignan,"Thumbnail, People also ask",900,0,0.23,,,,,,,,,,https://www.pagesjaunes.fr/pros/05882769,10,4,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-31 01:30:02
quequetterie paris,"People also ask, Knowledge panel, Thumbnail, Video preview",900,1,0.25,,,,,,,,,,https://www.pagesjaunes.fr/pros/56672023,9,27,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-02 04:05:05
viburnum davidii,"People also ask, Knowledge panel, Thumbnail, Video preview",900,0,0.09,,,,,,,,,,https://jardinage.pagesjaunes.fr/plante/voir/1597/viburnum-davidii,9,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 17:32:20
marché de noisiel,"People also ask, Thumbnail, Video preview",900,0,,,,,,,,,,,https://www.pagesjaunes.fr/pros/60211370,7,14,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-11 08:49:40
ent college augustin malroux,"Sitelinks, Video preview",900,0,,,,,,,,,,,https://www.pagesjaunes.fr/pros/55003576,2,76,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-01 08:27:59
pharmacie castelnau le lez,"Local pack, Thumbnail",900,2,0.07,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/castelnau-le-lez-34/pharmacies,10,9,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-30 11:25:51
magasin deauville,People also ask,900,0,0.36,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/deauville-14/boutique-de-pret-a-porter,7,24,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-04 01:01:05
ford nanterre,"Sitelinks, Knowledge panel, Thumbnail",900,0,0.24,,,,,,,,,,https://www.pagesjaunes.fr/pros/58829291,7,5,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-10 11:16:22
kiné balnéothérapie autour de moi,"Local pack, Sitelinks, People also ask, Video preview",900,5,0.28,,,,,,,,,,https://www.pagesjaunes.fr/activites/balneotherapie.html,5,113,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-10 06:46:29
maif lille,"Local pack, People also ask",900,2,0.67,,,,,,,,,,https://www.pagesjaunes.fr/pros/05688800,7,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-09 16:49:08
fnac forum des halles,People also ask,900,0,0.02,,,,,,,,,,https://www.pagesjaunes.fr/pros/05423917,6,5,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-03 19:06:35
impot avignon,People also ask,900,0,1.09,,,,,,,,,,https://www.pagesjaunes.fr/pros/50272389,5,52,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-10 11:22:57
laboratoire bron,"Local pack, Thumbnail",900,0,,,,,,,,,,,https://www.pagesjaunes.fr/pros/52639348,6,27,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-11 22:53:19
on aie,"Sitelinks, People also ask, Video preview",900,3,0.02,,,,,,,,,,https://www.pagesjaunes.fr/pros/62495642,7,31,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-09 13:47:56
adecco laval,"People also ask, Thumbnail",900,0,0.02,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/laval-53/adecco,10,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-09 04:04:39
harmonie mutuelle caen,"People also ask, Knowledge panel, Sitelinks",900,2,1.25,,,,,,,,,,https://www.pagesjaunes.fr/pros/54152951,7,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-14 22:23:46
emmaus ivry sur seine,"Local pack, People also ask, Thumbnail",900,0,0.18,,,,,,,,,,https://www.pagesjaunes.fr/pros/07664013,9,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-06 06:12:09
agence de voyage toulouse,"Local pack, People also ask, Thumbnail, Bottom ads",900,2,0.70,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/toulouse-31/agences-de-voyages,6,67,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-11 11:21:48
super u vesoul,"Thumbnail, People also ask, Sitelinks",900,1,0.04,,,,,,,,,,https://www.pagesjaunes.fr/pros/05310844,4,8,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 01:57:26
placo salle de bain,"People also ask, Shopping, Thumbnail, Video preview, Sitelinks",900,0,0.08,,,,,,,,,,,,,,,,,,,https://www.travaux.com/questions/v/541/est-ce-que-le-placoplatre-ordinaire-convient-pour-une-douche-salle-de-bain,4,42,,,,,,,,,,,,,,,,2026-04-14 22:22:20
clinique des augustines,"Sitelinks, Video preview, Thumbnail",900,0,0.37,,,,,,,,,,https://www.pagesjaunes.fr/pros/00644432,5,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-11 17:23:05
espace emeraude vitré,"Thumbnail, Sitelinks",900,0,0.15,,,,,,,,,,https://www.pagesjaunes.fr/pros/00504360,5,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-12 03:10:14
zoomalia tyrosse,"Thumbnail, Video preview, Sitelinks",900,0,0.73,,,,,,,,,,https://www.pagesjaunes.fr/pros/58594291,5,49,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-12 03:24:15
novabio perigueux,"Local pack, Sitelinks",900,0,,,,,,,,,,,https://www.pagesjaunes.fr/pros/00201884,4,3,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-31 11:47:04
bureau vallée forbach,"Sitelinks, People also ask",900,1,0.02,,,,,,,,,,https://www.pagesjaunes.fr/pros/62633742,7,56,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-04 14:38:52
caf ajaccio,"People also ask, Knowledge panel",900,0,0.03,,,,,,,,,,https://www.pagesjaunes.fr/pros/61616159,9,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-09 07:05:24
ouest france ploërmel,"Sitelinks, Video preview",900,0,0.09,,,,,,,,,,https://www.pagesjaunes.fr/pros/05654409,7,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 19:18:00
cbd fr,Sitelinks,900,41,,,,,,,,,,,https://www.pagesjaunes.fr/pros/63255574,4,84,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-31 18:30:35
l'esquisse annecy,"Sitelinks, People also ask",900,1,0.16,,,,,,,,,,https://www.pagesjaunes.fr/pros/53395254,10,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 08:33:37
kiabi v2,"People also ask, Sitelinks",900,1,0.01,,,,,,,,,,https://www.pagesjaunes.fr/pros/06007596,7,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 15:40:53
météo france le mans,,900,2,0.02,,,,,,,,,,https://www.pagesjaunes.fr/pros/05727897,6,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-09 04:57:55
pharmacie forum des halles,"Sitelinks, People also ask, Video preview",900,0,0.21,,,,,,,,,,https://www.pagesjaunes.fr/pros/54081883,10,15,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-14 23:24:01
agence moneygram à proximité,"Local pack, Sitelinks, People also ask",900,0,0.24,,,,,,,,,,https://www.pagesjaunes.fr/pros/57268342,4,104,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 00:18:58
