"﻿""Keyword""",Country,Location,Language,Entities,Branded,Local,Navigational,Informational,Commercial,Transactional,SERP features,Volume,KD,CPC,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous position,Current position,Position change,Previous position kind,Previous URL,Current position kind,Current URL,Previous date,Current date
tonte gazon clichy,FR,France,French,Clichy (Location),false,true,false,true,true,true,"People also ask, Local pack",0,0,,,0,,,,5,New,,,,https://servicesartisans.fr/tarifs/jardinier/clichy/tonte-de-pelouse-jardin-de-200-m,,2026-03-23 15:29:17
prix pompe a chaleur toulouse,FR,France,French,Toulouse (Location),false,true,false,true,true,false,"Featured snippet, People also ask",0,0,,,0,,,,10,New,,,,https://servicesartisans.fr/tarifs/chauffagiste/toulouse/installation-d-une-pompe-a-chaleur-air-eau,,2026-03-19 22:05:18
toilettes bouchées evry,FR,France,French,Evry (Location),false,true,false,true,true,true,"Featured snippet, People also ask",0,0,,,0,,,,10,New,,,,https://servicesartisans.fr/problemes/wc-bouche/evry-courcouronnes,,2026-04-03 14:49:47
cuisiniste loudeac,FR,France,French,Loudeac (Location),false,true,false,true,true,false,"People also ask, Knowledge panel",10,0,1.03,,0,,,,12,New,,,,https://servicesartisans.fr/services/cuisiniste/loudeac,,2026-04-11 19:11:27
ams plomberie marseille,FR,France,French,"AMS Plomberie (Organization), Marseille (Location)",true,true,false,true,false,false,"Thumbnail, People also ask",0,0,1.95,,0,,,,9,New,,,,https://servicesartisans.fr/services/plombier/marseille/ams-plomberie-841592272,,2026-04-10 10:24:04
tonte gazon pantin,FR,France,French,Pantin (Location),false,true,false,true,true,true,,0,0,,,0,,,,6,New,,,,https://servicesartisans.fr/tarifs/jardinier/pantin/tonte-de-pelouse-jardin-de-200-m,,2026-04-10 04:37:00
stores d'intérieur antibes,FR,France,French,Antibes (Location),false,true,false,true,true,false,Sitelinks,0,2,,,0,,,,9,New,,,,https://servicesartisans.fr/tarifs/storiste/antibes/store-interieur-venitien-enrouleur,,2026-04-14 06:28:02
cuisiniste tarbes,FR,France,French,Tarbes (Location),false,true,false,true,true,false,"Thumbnail, People also ask, Video preview",150,2,1.22,0,,,,30,,Lost,,https://servicesartisans.fr/services/cuisiniste/tarbes,,,2026-03-03 19:16:24,
diagnostic immobilier obligatoire 2021,US,United States,French,,false,false,false,true,false,false,"People also ask, Sitelinks",0,43,,,0,,,,10,New,,,,https://servicesartisans.fr/blog/diagnostic-immobilier-obligatoire-liste,,2026-03-22 09:20:46
couvreur zingueur saint just en chaussée,FR,France,French,Saint Just en Chaussee (Location),false,true,false,true,true,false,Local pack,0,0,,,0,,,,11,New,,,,https://servicesartisans.fr/avis/couvreur/saint-just-en-chaussee,,2026-04-03 02:33:53
changer sa chaudière fioul pelissanne,FR,France,French,Pelissanne (Location),false,true,false,true,false,true,People also ask,0,0,,,0,,,,10,New,,,,https://servicesartisans.fr/avis/chauffagiste/pelissanne,,2026-03-21 12:13:27
ocs assainissement,FR,France,French,OCS ASSAINISSEMENT (Organization),true,false,false,true,false,false,,0,0,,,0,,,,10,New,,,,https://servicesartisans.fr/services/carreleur/woippy/6b846bf14569a096,,2026-03-22 04:46:29
ambiance poele perissac,FR,France,French,"Ambiance Poêles (Organization), Perissac (Location)",true,true,false,true,false,false,,0,0,,,0,,,,7,New,,,,https://servicesartisans.fr/services/chauffagiste/perissac/ap-reno-ambiance-poele-900770587,,2026-04-12 05:49:28
installation de vitrerie,FR,France,French,,false,false,false,true,true,false,"Local pack, People also ask",0,0,,,0,,,,8,New,,,,https://servicesartisans.fr/departements/herault/vitrier,,2026-03-23 04:05:39
tarif carreleur,FR,France,French,,false,false,false,true,false,false,"Featured snippet, People also ask, Video preview",200,3,0.42,0,,,,32,,Lost,,https://servicesartisans.fr/tarifs/carreleur,,,2026-03-06 22:29:13,
entreprise isolation thermique persan,FR,France,French,Persan (Location),false,true,false,true,true,false,"Knowledge panel, Sitelinks",0,0,,0,,,,11,,Lost,,https://servicesartisans.fr/services/isolation-thermique/persan/centre-ville,,,2026-03-08 01:23:27,
tonte gazon bagnolet,FR,France,French,Bagnolet (Location),false,true,false,true,true,true,"People also ask, Local pack",0,0,,,0,,,,11,New,,,,https://servicesartisans.fr/tarifs/jardinier/bagnolet/entretien-mensuel-d-un-jardin-200-m,,2026-03-22 19:02:47
etancheite bureaux villefranche sur mer,FR,France,French,Villefranche-sur-Mer (Location),false,true,false,true,true,false,People also ask,0,0,,,0,,,,8,New,,,,https://servicesartisans.fr/devis/etancheiste/villefranche-sur-mer,,2026-04-11 21:07:05
tonte gazon plaisir,FR,France,French,Plaisir (Location),false,true,false,true,true,false,"People also ask, Knowledge panel",0,0,,,0,,,,8,New,,,,https://servicesartisans.fr/tarifs/jardinier/plaisir/tonte-de-pelouse-jardin-de-200-m,,2026-04-05 20:34:05
plombier yerres,FR,France,French,Yerres (Location),false,true,false,true,true,true,"People also ask, Knowledge panel, Thumbnail",200,11,7.55,0,,,,33,,Lost,,https://servicesartisans.fr/services/plombier/vigneux-sur-seine/yerres,,,2026-02-25 04:45:42,
remise en état après chantier menton,FR,France,French,Menton (Location),false,true,false,true,true,false,People also ask,0,0,,,0,,,,9,New,,,,https://servicesartisans.fr/tarifs/nettoyage/menton/nettoyage-de-fin-de-chantier-appartement-60-m,,2026-03-22 17:32:50
alarme centre val de loire,US,United States,French,Centre-Val de Loire (Location),false,true,false,true,true,false,People also ask,0,0,,0,,,,9,,Lost,,https://servicesartisans.fr/departements/loiret/alarme-securite,,,2026-02-24 07:10:49,
installation d’arrosage grasse,FR,France,French,Grasse (Location),false,true,false,true,true,false,Knowledge panel,0,0,,,0,,,,9,New,,,,https://servicesartisans.fr/tarifs/jardinier/grasse/installation-d-arrosage-automatique,,2026-03-23 20:33:46
serrurier epinal,FR,France,French,Epinal (Location),false,true,false,true,false,false,"Thumbnail, People also ask, Knowledge panel",200,0,1.80,0,,,,32,,Lost,,https://servicesartisans.fr/services/serrurier/epinal,,,2026-02-14 16:35:50,
prix chauffe eau thermodynamique castres,FR,France,French,Castres (Location),false,true,false,true,true,false,"Shopping, Thumbnail, People also ask, Sitelinks",0,0,,,0,,,,14,New,,,,https://servicesartisans.fr/tarifs/plombier/castres/remplacement-d-un-chauffe-eau,,2026-03-30 08:04:17
crédence en verre grasse,FR,France,French,Grasse (Location),false,true,false,true,true,false,"Shopping, Thumbnail, Sitelinks",0,1,,,0,,,,11,New,,,,https://servicesartisans.fr/tarifs/vitrier/grasse/pose-d-une-credence-en-verre-cuisine,,2026-03-24 06:28:03
cuisiniste perpignan,FR,France,French,Perpignan (Location),false,true,false,true,true,false,"Thumbnail, People also ask, Video preview",250,6,1.61,0,,,,40,,Lost,,https://servicesartisans.fr/services/cuisiniste/perpignan,,,2026-03-03 02:19:22,
electricien lyon,FR,France,French,Lyon (Location),false,true,false,true,true,true,"Local pack, People also ask, Thumbnail, Video preview",1300,22,2.28,0,,,,52,,Lost,,https://servicesartisans.fr/services/electricien/lyon,,,2026-03-03 01:00:17,
serrurier aix-les-bains,FR,France,French,Aix-les-Bains (Location),false,true,false,true,true,true,"Local pack, People also ask, Thumbnail, Video preview",600,2,1.02,,0,,,,48,New,,,,https://servicesartisans.fr/avis/serrurier/aix-les-bains,,2026-04-18 03:59:24
serrurier vanves,FR,France,French,Vanves (Location),false,true,false,true,true,false,"Local pack, Thumbnail, People also ask, Video preview",300,0,11.38,0,,,,44,,Lost,,https://servicesartisans.fr/services/serrurier/vanves,,,2026-02-27 15:55:03,
serrurier avignon,FR,France,French,Avignon (Location),false,true,false,true,true,false,"Local pack, People also ask, Thumbnail",450,1,3.03,,0,,,,47,New,,,,https://servicesartisans.fr/urgence/serrurier/avignon,,2026-04-11 08:19:41
tarif désembouage engie,FR,France,French,ENGIE (Organization),true,false,false,true,false,false,"Featured snippet, People also ask, Sitelinks",450,1,0.28,0,,,,45,,Lost,,https://servicesartisans.fr/tarifs/chauffagiste/palaiseau/desembouage-d-un-circuit-de-chauffage,,,2026-03-18 08:28:26,
plombier dunkerque,FR,France,French,Dunkirk (Location),false,true,false,true,true,true,"Local pack, Thumbnail, People also ask",350,4,4.21,0,,,,48,,Lost,,https://servicesartisans.fr/services/plombier/dunkerque,,,2026-03-07 09:21:34,
couvreur boulogne sur mer,FR,France,French,Boulogne-sur-Mer (Location),false,true,false,true,true,false,"Local pack, People also ask, Thumbnail, Video preview",200,1,2.23,0,,,,46,,Lost,,https://servicesartisans.fr/services/couvreur/boulogne-sur-mer,,,2026-03-04 03:06:14,
serrurier rennes urgence,FR,France,French,Rennes (Location),false,true,false,true,false,true,"Local pack, People also ask, Thumbnail",600,2,2.39,0,,,,52,,Lost,,https://servicesartisans.fr/urgence/serrurier/rennes,,,2026-03-07 05:26:17,
cout architecte d'intérieur,FR,France,French,,false,false,false,true,false,false,"Sitelinks, People also ask, Video preview",200,1,0.43,0,0,0,,44,44,,,https://servicesartisans.fr/tarifs/architecte-interieur,,https://servicesartisans.fr/tarifs/architecte-interieur,2026-02-25 12:19:52,2026-02-25 12:19:52
chauffagiste tarbes,FR,France,French,Tarbes (Location),false,true,false,true,true,false,"Local pack, People also ask",150,6,0.99,0,,,,47,,Lost,,https://servicesartisans.fr/services/chauffagiste/tarbes,,,2026-03-05 07:13:23,
plombier d'urgence,FR,France,French,,false,false,false,true,false,true,"Local pack, People also ask, Video preview",250,1,0.35,0,,,,48,,Lost,,https://servicesartisans.fr/urgence/plombier/clermont-ferrand,,,2026-03-06 00:13:21,
urgence serrurier,FR,France,French,,false,false,false,true,false,true,"Local pack, People also ask, Thumbnail, Video preview",1000,11,0.20,0,,,,59,,Lost,,https://servicesartisans.fr/urgence/serrurier/nimes,,,2026-03-10 05:51:49,
chauffagiste le mans,FR,France,French,Le Mans (Location),false,true,false,true,false,false,"Local pack, People also ask, Thumbnail, Video preview",250,4,1.07,0,,,,52,,Lost,,https://servicesartisans.fr/services/chauffagiste/le-mans,,,2026-03-04 12:07:26,
serrurier urgence,FR,France,French,,false,false,false,true,false,true,"Local pack, People also ask, Video preview",1200,0,0.20,0,,,,60,,Lost,,https://servicesartisans.fr/urgence/serrurier/montauban,,,2026-03-16 21:19:57,
plombier marseille,FR,France,French,Marseille (Location),false,true,false,true,true,true,"Local pack, People also ask, Thumbnail, Video preview",2200,5,2.91,0,,,,64,,Lost,,https://servicesartisans.fr/services/plombier/marseille,,,2026-03-16 04:22:11,
plombier gonesse,FR,France,French,Gonesse (Location),false,true,false,true,false,true,"Local pack, People also ask, Thumbnail",200,0,5.45,,0,,,,53,New,,,,https://servicesartisans.fr/services/plombier/gonesse,,2026-04-04 00:49:17
vitrier strasbourg,FR,France,French,Strasbourg (Location),false,true,false,true,true,false,"Local pack, Sitelinks, People also ask, Thumbnail, Video preview",250,6,2.54,0,,,,55,,Lost,,https://servicesartisans.fr/services/vitrier/strasbourg,,,2026-03-04 15:28:34,
artisan peintre bordeaux,FR,France,French,Bordeaux (Location),false,true,false,true,true,false,"Local pack, People also ask, Thumbnail, Video preview",450,7,2.39,0,,,,61,,Lost,,https://servicesartisans.fr/services/peintre-en-batiment/bordeaux,,,2026-03-07 15:23:45,
serrurier meylan,FR,France,French,Meylan (Location),false,true,false,true,false,false,"Local pack, Thumbnail, People also ask, Video preview",400,0,0.82,0,,,,59,,Lost,,https://servicesartisans.fr/services/serrurier/meylan,,,2026-03-01 01:00:09,
cuisiniste dunkerque,FR,France,French,Dunkirk (Location),false,true,false,true,true,false,"Thumbnail, People also ask",200,0,1.01,0,,,,55,,Lost,,https://servicesartisans.fr/services/cuisiniste/dunkerque,,,2026-03-04 01:42:17,
chauffagiste thionville,FR,France,French,Thionville (Location),false,true,false,true,true,false,"Local pack, People also ask, Thumbnail, Video preview",250,4,1.34,0,,,,60,,Lost,,https://servicesartisans.fr/services/chauffagiste/thionville,,,2026-03-04 17:16:00,
plombier cergy,FR,France,French,Cergy (Location),false,true,false,true,true,true,"Local pack, Thumbnail, People also ask",500,5,2.33,0,,,,63,,Lost,,https://servicesartisans.fr/services/plombier/cergy,,,2026-03-02 19:32:10,
couvreur amiens,FR,France,French,Amiens (Location),false,true,false,true,true,false,"Local pack, Thumbnail, People also ask",1000,12,2.04,0,,,,68,,Lost,,https://servicesartisans.fr/services/couvreur/amiens,,,2026-03-05 01:01:20,
electriciens paris,FR,France,French,Paris (Location),false,true,false,true,true,true,"Local pack, Thumbnail, People also ask, Video preview",200,1,5.32,0,,,,62,,Lost,,https://servicesartisans.fr/services/electricien/paris,,,2026-03-06 15:00:38,
peintre limoges,FR,France,French,Limoges (Location),false,true,false,true,true,false,"Local pack, People also ask, Thumbnail, Video preview",200,2,0.85,0,,,,62,,Lost,,https://servicesartisans.fr/services/peintre-en-batiment/limoges,,,2026-03-03 22:39:56,
artisan serrurier,FR,France,French,,false,false,false,true,true,false,"Local pack, People also ask, Thumbnail, Video preview",400,11,1.40,0,,,,64,,Lost,,https://servicesartisans.fr/services/serrurier/lyon,,,2026-03-08 15:02:43,
plombier chalon sur saone,FR,France,French,Chalon-sur-Saône (Location),false,true,false,true,true,true,"Local pack, People also ask, Thumbnail",500,2,0.71,0,,,,67,,Lost,,https://servicesartisans.fr/services/plombier/chalon-sur-saone,,,2026-03-05 05:18:03,
plombier pornichet,FR,France,French,Pornichet (Location),false,true,false,true,true,true,"Local pack, People also ask, Thumbnail",200,0,2.58,0,,,,65,,Lost,,https://servicesartisans.fr/devis/plombier/pornichet/centre-ville,,,2026-02-24 13:16:02,
couvreur clermont ferrand,FR,France,French,Clermont-Ferrand (Location),false,true,false,true,true,false,"Local pack, Thumbnail, People also ask, Video preview",1400,7,2.11,0,,,,75,,Lost,,https://servicesartisans.fr/avis/couvreur/clermont-ferrand,,,2026-03-18 23:19:58,
cuisiniste orleans,FR,France,French,Orléans (Location),false,true,false,true,true,false,"Thumbnail, People also ask, Video preview",250,11,2.67,0,,,,65,,Lost,,https://servicesartisans.fr/services/cuisiniste/orleans,,,2026-03-05 09:01:15,
deratisation prix,FR,France,French,,false,false,false,true,true,false,"Featured snippet, People also ask, Sitelinks, Video preview",200,0,0.90,0,0,0,,65,65,,,https://servicesartisans.fr/tarifs/deratisation,,https://servicesartisans.fr/tarifs/deratisation,2026-02-24 01:53:20,2026-02-24 01:53:20
couvreur lille,FR,France,French,Lille (Location),false,true,false,true,true,false,"Local pack, People also ask, Thumbnail",2300,1,2.37,0,,,,80,,Lost,,https://servicesartisans.fr/services/couvreur/lille,,,2026-03-06 00:00:28,
couvreur lorient,FR,France,French,Lorient (Location),false,true,false,true,true,false,"Local pack, People also ask, Thumbnail",1200,0,2.54,0,,,,76,,Lost,,https://servicesartisans.fr/services/couvreur/lorient,,,2026-03-04 06:26:18,
maçon strasbourg,FR,France,French,Strasbourg (Location),false,true,false,true,true,false,"Thumbnail, People also ask, Video preview",50,0,0.71,0,,,,60,,Lost,,https://servicesartisans.fr/services/macon/strasbourg,,,2026-03-06 04:46:38,
démoussage toiture prix au m2,FR,France,French,,false,false,false,true,false,false,"Featured snippet, People also ask, Sitelinks, Video preview",600,1,0.93,0,,,,74,,Lost,,https://servicesartisans.fr/tarifs/couvreur/toulouse/nettoyage-et-demoussage-de-toiture,,,2026-03-17 10:32:09,
bg6,FR,France,,BG6 (Organization),true,false,false,true,false,false,Sitelinks,50,0,,0,,,,6,,Lost,,https://servicesartisans.fr/services/geometre/tresses/bg6-bg6-bg6-510506058,,,2026-03-10 08:40:47,
chauffagiste dunkerque,FR,France,French,Dunkirk (Location),false,true,false,true,true,false,"Local pack, People also ask, Thumbnail, Video preview",200,2,1.54,0,,,,73,,Lost,,https://servicesartisans.fr/services/chauffagiste/dunkerque,,,2026-03-04 02:52:26,
peintre nice,FR,France,French,Nice (Location),false,true,false,true,false,false,"Local pack, Thumbnail, Video preview",250,1,1.55,0,,,,73,,Lost,,https://servicesartisans.fr/services/peintre-en-batiment/nice,,,2026-03-05 14:30:01,
prix du fioul à lutterbach,FR,France,French,Lutterbach (Location),false,true,false,true,false,false,"People also ask, Sitelinks",10,0,,0,,,,58,,Lost,,https://servicesartisans.fr/departements/haut-rhin/chauffagiste,,,2026-02-22 09:56:38,
couvreur limoges,FR,France,French,Limoges (Location),false,true,false,true,true,false,"Local pack, Thumbnail, People also ask",350,8,2.32,0,,,,83,,Lost,,https://servicesartisans.fr/services/couvreur/limoges,,,2026-03-03 08:49:42,
prix terrassement maison 100m2,FR,France,French,,false,false,false,true,false,false,"Featured snippet, People also ask, Sitelinks",100,0,0.78,0,,,,81,,Lost,,https://servicesartisans.fr/tarifs/terrassier,,,2026-02-24 22:07:35,
débistrage prix,FR,France,French,,false,false,false,true,false,false,"Featured snippet, People also ask, Sitelinks, Shopping, Thumbnail, Video preview",200,0,0.47,0,,,,85,,Lost,,https://servicesartisans.fr/tarifs/ramoneur/salon-de-provence,,,2026-03-12 12:15:12,
zingueur,FR,France,French,,false,false,false,true,false,false,"People also ask, Local pack, Thumbnail, Video preview",1300,0,2.00,0,,,,54,,Lost,,https://servicesartisans.fr/departements/loire-atlantique/zingueur,,,2026-03-04 02:26:06,
plombier auxerre,FR,France,French,Auxerre (Location),false,true,false,true,true,true,"Local pack, People also ask, Thumbnail",300,4,0.68,0,,,,90,,Lost,,https://servicesartisans.fr/services/plombier/auxerre,,,2026-03-03 21:52:29,
tarif deratisation,FR,France,French,,false,false,false,true,true,false,"Featured snippet, People also ask, Video preview",200,0,0.83,0,0,0,,83,83,,,https://servicesartisans.fr/tarifs/deratisation,,https://servicesartisans.fr/tarifs/deratisation,2026-02-23 12:24:30,2026-02-23 12:24:30
tarif jardinier heure,FR,France,French,,false,false,false,true,false,false,"Featured snippet, People also ask, Video preview",150,0,0.49,0,0,0,,86,86,,,https://servicesartisans.fr/tarifs-artisans/jardinier,,https://servicesartisans.fr/tarifs-artisans/jardinier,2026-02-25 15:08:27,2026-02-25 15:08:27
dératisation lyon,FR,France,French,Lyon (Location),false,true,false,true,true,false,"Local pack, Thumbnail, People also ask, Video preview",250,7,1.47,0,,,,92,,Lost,,https://servicesartisans.fr/avis/deratisation/lyon,,,2026-02-23 19:53:49,
climero,FR,France,French,Climero (Organization),true,false,false,true,false,false,"Sitelinks, Knowledge panel",20,0,,0,,,,7,,Lost,,https://servicesartisans.fr/services/climaticien/montpellier/climero-943642397,,,2026-03-11 06:00:34,
devis plombier,FR,France,French,,false,false,false,true,true,true,"Local pack, People also ask, Sitelinks, Video preview",250,1,2.24,0,0,0,,99,99,,,https://servicesartisans.fr/devis/plombier,,https://servicesartisans.fr/devis/plombier,2026-03-04 06:54:12,2026-03-04 06:54:12
domolec,FR,France,French,Domolec (Organization),true,false,false,true,false,false,Knowledge panel,50,0,0.73,0,,,,9,,Lost,,https://servicesartisans.fr/services/electricien/meximieux/domolec-domolec-980881122,,,2026-03-15 09:56:35,
plombier besancon,FR,France,French,Besançon (Location),false,true,false,true,true,true,"Local pack, People also ask, Thumbnail",400,5,0.88,0,,,,36,,Lost,,https://servicesartisans.fr/services/plombier/besancon,,,2026-03-03 01:32:18,
og2l,FR,France,,OG2L (Organization),true,false,false,true,false,false,Thumbnail,10,0,,,0,,,,9,New,,,,https://servicesartisans.fr/services/architecte-interieur/bressuire/og2l-og2l-478339054,,2026-04-09 06:07:27
stit,FR,France,French,STIT (Organization),true,false,false,true,false,false,"People also ask, Thumbnail, Video preview",200,0,0.06,0,,,,13,,Lost,,https://servicesartisans.fr/services/isolation-thermique/saint-germain-en-laye/stit-services-societe-de-travaux-d-isolation-thermique-et-services-791875164,,,2026-03-12 16:42:02,
serrurier lyon,FR,France,French,Lyon (Location),false,true,false,true,true,false,Thumbnail,3100,0,4.16,0,,,,34,,Lost,,https://servicesartisans.fr/services/serrurier/lyon,,,2026-03-17 08:48:27,
carreleur,FR,France,French,,false,false,false,true,false,false,"Local pack, People also ask, Thumbnail, Video preview",5600,4,0.80,0,,,,58,,Lost,,https://servicesartisans.fr/services/carreleur/brest,,,2026-03-07 18:28:32,
plombier poitiers,FR,France,French,Poitiers (Location),false,true,false,true,true,false,"Local pack, People also ask, Thumbnail",700,2,0.92,0,,,,50,,Lost,,https://servicesartisans.fr/services/plombier/poitiers,,,2026-03-04 22:56:02,
brico man,FR,France,French,Bricoman (Organization),true,false,true,true,true,false,"Sitelinks, Local pack, People also ask, Video preview",3700,0,0.01,,0,,,,20,New,,,,https://servicesartisans.fr/services/solier/nice/brico-man-brico-man-538466319,,2026-04-12 03:27:35
serrurier,FR,France,French,,false,false,false,true,false,false,"Local pack, People also ask, Thumbnail, Video preview",59000,8,5.28,0,,,,99,,Lost,,https://servicesartisans.fr/services/serrurier/lyon,,,2026-03-10 01:35:20,
prix paysagiste,FR,France,French,,false,false,false,true,false,false,"Featured snippet, Thumbnail, People also ask, Video preview",450,0,0.59,0,0,0,,85,85,,,https://servicesartisans.fr/tarifs/paysagiste/strasbourg,,https://servicesartisans.fr/tarifs/paysagiste/strasbourg,2026-02-27 21:34:39,2026-02-27 21:34:39
prix pose,FR,France,French,,false,false,false,true,false,false,"Sitelinks, People also ask, Video preview",300,0,1.17,0,,,,50,,Lost,,https://servicesartisans.fr/tarifs,,,2026-03-09 03:21:03,
labelenergie,FR,France,French,Label Energie (Organization),true,false,false,true,false,false,"Thumbnail, Knowledge panel",200,2,1.70,0,,,,49,,Lost,,https://servicesartisans.fr/services/chauffagiste/sarcelles/label-energie-508007796,,,2026-03-03 20:41:00,
réparation domotique vendee,FR,France,French,Vendée (Location),false,true,false,true,true,false,"Local pack, People also ask",0,0,,,0,,,,3,New,,,,https://servicesartisans.fr/departements/vendee/domoticien,,2026-04-02 18:35:49
etancheite goudron menton,FR,France,French,Menton (Location),false,true,false,true,false,false,"People also ask, Knowledge panel, Sitelinks",0,0,,,0,,,,6,New,,,,https://servicesartisans.fr/tarifs/etancheiste/menton/etancheite-toiture-terrasse-membrane-bitume,,2026-03-19 20:56:03
membrane epdm cannes,FR,France,English,Cannes (Location),false,true,false,true,true,false,People also ask,0,0,,,0,,,,7,New,,,,https://servicesartisans.fr/tarifs/etancheiste/cannes/etancheite-toiture-terrasse-membrane-bitume,,2026-03-31 11:59:44
entretien de jardin notredamedebondeville,FR,France,French,Notre Dame de Bondeville (Location),false,true,false,true,true,false,Local pack,0,0,,,0,,,,8,New,,,,https://servicesartisans.fr/avis/jardinier/notre-dame-de-bondeville,,2026-04-01 08:19:18
peintre en bâtiment creteil,FR,France,French,Créteil (Location),false,true,false,true,true,false,"Local pack, People also ask, Video preview",0,0,,,0,,,,2,New,,,,https://servicesartisans.fr/services/peintre-en-batiment/creteil,,2026-03-25 16:17:23
cuisine plus boé avis,FR,France,French,Cuisine Plus Boé (Organization),true,false,false,true,true,false,"People also ask, Sitelinks, Knowledge panel",0,0,,,0,,,,11,New,,,,https://servicesartisans.fr/avis/cuisiniste/boe,,2026-04-09 19:09:38
rénovation salle de bain aimargues,US,United States,French,Aimargues (Location),false,true,false,true,true,false,"Sitelinks, Local pack",0,0,,,0,,,,3,New,,,,https://servicesartisans.fr/services/salle-de-bain/vauvert/aimargues,,2026-03-24 06:09:47
installation sirene extérieure lorgues,FR,France,French,Lorgues (Location),false,true,false,true,true,false,People also ask,0,0,,,0,,,,7,New,,,,https://servicesartisans.fr/devis/alarme-securite/lorgues,,2026-04-08 09:21:53
serrurier à échirolles,FR,France,French,Echirolles (Location),false,true,false,true,false,true,"Local pack, People also ask, Thumbnail",0,0,,0,,,,11,,Lost,,https://servicesartisans.fr/services/serrurier/echirolles/e25adec7f5c9976e,,,2026-03-01 11:49:29,
installation domotique liévin,FR,France,French,Liévin (Location),false,true,false,true,true,false,"Knowledge panel, People also ask",0,0,,,0,,,,6,New,,,,https://servicesartisans.fr/tarifs/electricien/lievin/installation-d-un-systeme-domotique-eclairage-volets,,2026-03-22 16:24:28
norme électrique 2022,FR,France,French,,false,false,false,true,false,false,"Video preview, People also ask, Sitelinks",0,0,,,0,,,,5,New,,,,https://servicesartisans.fr/guides/normes-electriques,,2026-04-05 22:38:27
membrane epdm menton,FR,France,French,Menton (Location),false,true,false,true,true,false,People also ask,0,0,,,0,,,,8,New,,,,https://servicesartisans.fr/tarifs/etancheiste/menton/etancheite-toiture-terrasse-membrane-bitume,,2026-03-22 20:19:32
cuisine plus brive-la-gaillarde avis,FR,France,French,"Cuisine Plus (Organization), Brive-la-Gaillarde (Location)",true,true,false,true,true,false,"People also ask, Knowledge panel, Sitelinks",0,0,,,0,,,,9,New,,,,https://servicesartisans.fr/avis/cuisiniste/brive-la-gaillarde,,2026-04-07 07:49:32
diagnostic électricité montauban,FR,France,French,Montauban (Location),false,true,false,true,true,false,"Local pack, People also ask",0,0,,,0,,,,4,New,,,,https://servicesartisans.fr/avis/diagnostiqueur/montauban,,2026-03-26 20:43:28
garde-corps en verre grasse,FR,France,French,Grasse (Location),false,true,false,true,true,true,"Shopping, Thumbnail",0,0,,,0,,,,3,New,,,,https://servicesartisans.fr/tarifs/vitrier/grasse/installation-d-un-garde-corps-en-verre-balcon-terrasse,,2026-03-25 11:01:32
tarif pose électrolyseur,FR,France,French,,false,false,false,true,false,false,"Featured snippet, People also ask, Sitelinks",0,0,,,0,,,,11,New,,,,https://servicesartisans.fr/tarifs/pisciniste/savigny-sur-orge/installation-traitement-automatique-electrolyse-au-sel,,2026-03-21 22:27:51
ramonage de cheminée marck,FR,France,French,Marck (Location),false,true,false,true,false,true,"Featured snippet, People also ask, Local pack, Sitelinks",0,0,,,0,,,,7,New,,,,https://servicesartisans.fr/tarifs/ramoneur/marck,,2026-04-10 16:28:27
serrurier urgent montpellier,FR,France,French,Montpellier (Location),false,true,false,true,false,true,"Local pack, People also ask",0,0,2.85,,0,,,,5,New,,,,https://servicesartisans.fr/urgence/serrurier/montpellier,,2026-03-25 11:29:04
dépannage camera de surveillance les herbiers,FR,France,French,Les Herbiers (Location),false,true,false,true,false,true,People also ask,0,0,,,0,,,,11,New,,,,https://servicesartisans.fr/urgence/domoticien/les-herbiers,,2026-04-13 15:32:18
versailles solar avis,FR,France,French,Versailles Solar (Organization),true,false,false,true,true,false,"Sitelinks, People also ask, Knowledge panel",0,0,0.90,,0,,,,5,New,,,,https://servicesartisans.fr/avis/panneaux-solaires/versailles,,2026-03-29 12:02:56
pose de carrelage quesnoy-sur-deûle,US,United States,French,Quesnoy-sur-Deûle (Location),false,true,false,true,true,true,"People also ask, Knowledge panel, Sitelinks",0,0,,0,0,0,,10,10,,,https://servicesartisans.fr/avis/carreleur/quesnoy-sur-deule,,https://servicesartisans.fr/avis/carreleur/quesnoy-sur-deule,2026-03-17 10:18:58,2026-03-17 10:18:58
fenêtre double vitrage henin beaumont,FR,France,French,Henin-Beaumont (Location),false,true,false,true,true,false,"People also ask, Shopping, Thumbnail, Knowledge panel",0,0,,,0,,,,1,New,,,,https://servicesartisans.fr/tarifs/miroitier/henin-beaumont/remplacement-de-double-vitrage,,2026-04-04 18:40:32
prix pose fenêtre au black,FR,France,French,,false,false,false,true,false,false,"People also ask, Sitelinks",0,2,1.11,,0,,,,9,New,,,,https://servicesartisans.fr/tarifs/menuisier/rouen/pose-d-une-fenetre-double-vitrage-pvc,,2026-03-29 23:42:30
monte escalier le barcares,FR,France,French,Le Barcarès (Location),false,true,false,true,true,false,Knowledge panel,0,0,,,0,,,,11,New,,,,https://servicesartisans.fr/tarifs/ascensoriste/le-barcares,,2026-03-28 03:49:47
relec34,FR,France,,Relec34 (Organization),true,true,false,true,false,false,"Sitelinks, People also ask",0,0,,0,,,,9,,Lost,,https://servicesartisans.fr/services/electricien/agde/f86a3f1db80abcc3,,,2026-02-28 16:08:50,
